Item,Qty,Reference(s),Value,LibPart,Footprint
1,1,C1,100p,Device:C,Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm
2,1,C2,220u,Device:C_Polarized,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm
3,2,"C3, C8",22n,Device:C,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm
4,3,"C4, C5, C7",100n,Device:C,Capacitor_THT:C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT
5,1,C6,1u,Device:C,Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm
6,1,D1,1N4148,Device:D,Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp
7,1,J1,20261043,Connector_Generic:Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical
8,1,J2,to PCB,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
9,1,J3,Video,Connector_Generic:Conn_01x07,Custom_Footprints:Connector_Mini-DIN_Female_6Pin_2rows
10,1,L1,10u,Device:L,Inductor_THT:L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2
11,3,"Q1, Q3, Q5",BC547,Transistor_BJT:BC547,Package_TO_SOT_THT:TO-92_Inline
12,2,"Q2, Q4",BC557,Transistor_BJT:BC557,Package_TO_SOT_THT:TO-92_Inline
13,2,"R1, R15",680R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
14,1,R2,5k6,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
15,2,"R3, R4",220R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
16,3,"R5, R11, R13",75R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
17,1,R6,3k3,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
18,3,"R7, R12, R16",470R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
19,1,R8,680R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
20,1,R9,4k7,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
21,1,R10,330R,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
22,1,R14,10k,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
23,1,R17,3k9,Device:R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical
24,1,U1,MC1372P,TRS-80:MC1372P,Package_DIP:DIP-14_W7.62mm
