Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100p,C_Disc_D3.0mm_W2.0mm_P2.50mm,206.375,-74.93,0.0,top
C2,220u,CP_Radial_D6.3mm_P2.50mm,217.17,-95.93262,90.0,top
C3,22n,C_Rect_L7.0mm_W3.5mm_P5.00mm,224.75,-93.345,0.0,top
C4,100n,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,205.68,-95.885,0.0,top
C5,100n,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,214.69,-78.74,0.0,top
C6,1u,C_Rect_L7.0mm_W4.5mm_P5.00mm,215.225,-69.85,0.0,top
C7,100n,C_Rect_L9.0mm_W4.2mm_P7.50mm_MKT,228.6,-66.04,0.0,top
C8,22n,C_Rect_L7.0mm_W3.5mm_P5.00mm,221.615,-67.905,90.0,top
D1,1N4148,D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,217.805,-89.379314,-90.0,top
J1,20261043,PinHeader_1x05_P2.54mm_Vertical,232.0,-74.925,0.0,top
J2,to PCB,PinHeader_1x03_P2.54mm_Vertical,232.0,-90.155,0.0,top
J3,Video,Connector_Mini-DIN_Female_6Pin_2rows,229.49,-56.325,0.0,top
L1,10u,L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2,227.33,-97.155,180.0,top
Q1,BC547,TO-92_Inline,203.56,-83.82,-90.0,top
Q2,BC557,TO-92_Inline,207.645,-70.76,0.0,top
Q3,BC547,TO-92_Inline,207.645,-61.595,0.0,top
Q4,BC557,TO-92_Inline,213.635,-83.82,90.0,top
Q5,BC547,TO-92_Inline,208.64,-83.82,-90.0,top
R1,680R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,217.805,-84.045,90.0,top
R2,5k6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,209.325,-91.44,0.0,top
R3,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,212.09,-96.295,-90.0,top
R4,220R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,214.63,-89.31,-90.0,top
R5,75R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,217.805,-55.88,0.0,top
R6,3k3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,209.325,-88.265,0.0,top
R7,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,203.425,-91.44,180.0,top
R8,680R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,214.63,-74.295,0.0,top
R9,4k7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,208.915,-65.405,180.0,top
R10,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,206.6,-78.105,180.0,top
R11,75R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,217.805,-52.705,0.0,top
R12,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,203.425,-88.265,180.0,top
R13,75R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,217.805,-59.055,0.0,top
R14,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,216.535,-65.405,180.0,top
R15,680R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,206.375,-56.515,-90.0,top
R16,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,209.55,-56.515,-90.0,top
R17,3k9,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,227.105,-70.485,0.0,top
U1,MC1372P,DIP-14_W7.62mm,224.79,-81.915,180.0,top
